Kunta-nro[4];Kunnan nimi;Nimitys;Kielet;Kuntakeskus;Maakunta;Seutukunta;Väkiluku[5];Kok.pinta-ala (km²)[6];Maapinta-ala (km²)[6];Väestötiheys(as./km²) 
848;Tohmajärvi;kunta;suomi;Kemie;Pohjois-Karjala;Keski-Karjalan seutukunta;4 066;895.36;837.75;4.9
849;Toholampi;kunta;suomi;Toholammin kirkonkylä;Keski-Pohjanmaa;Kaustisen seutukunta;2 849;617.05;608.98;4.7
850;Toivakka;kunta;suomi;Toivakan kirkonkylä;Keski-Suomi;Jyväskylän seutukunta;2 368;413.94;361.46;6.6
851;Tornio;kaupunki;suomi;Tornion keskustaajama;Lappi;Kemi–Tornion seutukunta;21 018;1 227.86;1 188.70;17.7
853;Turku;kaupunki;suomi. ruotsi;Turun keskustaajama;Varsinais-Suomi;Turun seutukunta;201 863;249.10;245.63;821.8
857;Tuusniemi;kunta;suomi;Tuusniemen kirkonkylä;Pohjois-Savo;Koillis-Savon seutukunta;2 313;699.42;543.18;4.3
858;Tuusula;kunta;suomi;Hyrylä[7];Uusimaa;Helsingin seutukunta;41 338;225.45;219.53;188.3
859;Tyrnävä;kunta;suomi;Tyrnävän kirkonkylä;Pohjois-Pohjanmaa;Oulun seutukunta;6 525;494.87;491.82;13.3
886;Ulvila;kaupunki;suomi;Vanhakylä[8];Satakunta;Porin seutukunta;12 533;422.51;400.82;31.3
887;Urjala;kunta;suomi;Urjalan kirkonkylä;Pirkanmaa;Etelä-Pirkanmaan seutukunta;4 568;505.41;475.53;9.6
889;Utajärvi;kunta;suomi;Utajärven kirkonkylä;Pohjois-Pohjanmaa;Oulunkaaren seutukunta;2 491;1 735.02;1 669.47;1.5
890;Utsjoki;kunta;suomi. pohjoissaame;Utsjoen kirkonkylä;Lappi;Pohjois-Lapin seutukunta;1 139;5 372.00;5 146.08;0.2
892;Uurainen;kunta;suomi;Uuraisten kirkonkylä;Keski-Suomi;Jyväskylän seutukunta;3 615;372.25;347.98;10.4
893;Uusikaarlepyy;kaupunki;ruotsi. suomi;Uudenkaarlepyyn keskustaajama;Pohjanmaa;Jakobstadsregionen;7 500;737.21;732.71;10.2
895;Uusikaupunki;kaupunki;suomi;Uudenkaupungin keskustaajama;Varsinais-Suomi;Vakka-Suomen seutukunta;14 938;551.53;503.20;29.7
785;Vaala;kunta;suomi;Vaalan kirkonkylä;Pohjois-Pohjanmaa;Oulunkaaren seutukunta;2 589;1 763.57;1 302.38;2
905;Vaasa;kaupunki;suomi. ruotsi;Vaasan keskustaajama;Pohjanmaa;Vaasan seutukunta;68 956;369.54;364.73;189.1
908;Valkeakoski;kaupunki;suomi;Valkeakosken keskustaajama;Pirkanmaa;Etelä-Pirkanmaan seutukunta;20 694;372.03;272.05;76.1
092;Vantaa;kaupunki;suomi. ruotsi;Tikkurila[7];Uusimaa;Helsingin seutukunta;247 443;240.35;238.38;1 038
911;Valtimo;kunta;suomi;;Pohjois-Karjala;
915;Varkaus;kaupunki;suomi;Varkauden keskustaajama;Pohjois-Savo;Varkauden seutukunta;19 727;524.48;385.62;51.2
918;Vehmaa;kunta;suomi;Vinkkilä;Varsinais-Suomi;Vakka-Suomen seutukunta;2 245;192.06;188.88;11.9
921;Vesanto;kunta;suomi;Vesannon kirkonkylä;Pohjois-Savo;Sisä-Savon seutukunta;1 895;569.81;422.63;4.5
922;Vesilahti;kunta;suomi;Vesilahden kirkonkylä;Pirkanmaa;Tampereen seutukunta;4 469;353.93;301.04;14.8
924;Veteli;kunta;suomi;Kainu[26];Keski-Pohjanmaa;Kaustisen seutukunta;2 936;520.91;502.13;5.8
925;Vieremä;kunta;suomi;Vieremän kirkonkylä;Pohjois-Savo;Ylä-Savon seutukunta;3 387;973.38;925.28;3.7
